id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
101,Resignation,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,36-40,5-6,dete
102,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
103,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,7-10,dete
104,Resignation,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,51-55,7-10,dete
105,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
106,Retirement,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,56 or older,11-20,dete
108,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,11-20,dete
109,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,31-35,3-4,dete
110,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
111,Retirement,2012.0,Permanent Part-time,False,False,False,True,False,True,Female,56 or older,More than 20 years,dete
112,Resignation,2012.0,Permanent Full-time,True,False,False,False,False,False,Female,26-30,7-10,dete
113,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,5-6,dete
114,Retirement,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,56 or older,3-4,dete
115,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,41-45,11-20,dete
116,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
117,Resignation,2012.0,Permanent Full-time,False,False,True,False,False,False,Male,56 or older,More than 20 years,dete
118,Retirement,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,56 or older,More than 20 years,dete
119,Resignation,2012.0,Permanent Full-time,True,False,False,False,False,False,Female,46-50,1-2,dete
120,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,31-35,3-4,dete
121,Termination,2012.0,Temporary Full-time,False,False,False,True,False,False,Female,26-30,3-4,dete
123,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
125,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Female,36-40,Less than 1 year,dete
126,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
127,Resignation,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,51-55,More than 20 years,dete
128,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
129,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
130,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
131,Resignation,2012.0,Temporary Full-time,True,False,False,True,False,False,Male,51-55,Less than 1 year,dete
132,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
133,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,5-6,dete
135,Retirement,2012.0,Permanent Full-time,False,True,False,False,False,False,Male,46-50,More than 20 years,dete
136,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
138,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
139,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Female,41-45,7-10,dete
140,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,More than 20 years,dete
142,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,More than 20 years,dete
143,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Female,56 or older,More than 20 years,dete
145,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
146,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,True,Male,56 or older,5-6,dete
